Age in 5-year groups ,Region,Religion,Ethnicity,Education in single years,Number of household members,Educational attainment,Frequency of reading newspaper or magazine,Frequency of listening to radio,Frequency of watching television,Literacy,Ever participated in a literacy program,Use of internet,Frequency of using internet last month,Owns a mobile telephone,Wealth index factor score for urban/rural,Wealth index for urban/rural,Wealth index factor score combined (5 decimals)
4.0,1.0,6.0,2.0,4.0,7.0,1.0,0.0,2.0,2.0,0.0,,1.0,1.0,1.0,-29062.0,2.0,32247.0
4.0,1.0,5.0,1.0,12.0,3.0,4.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,107520.0,4.0,140074.0
2.0,1.0,5.0,1.0,6.0,3.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,12851.0,3.0,65336.0
2.0,1.0,5.0,1.0,7.0,4.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,83964.0,4.0,20067.0
2.0,1.0,5.0,1.0,7.0,4.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,83964.0,4.0,20067.0
2.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,134606.0,5.0,64208.0
3.0,1.0,6.0,1.0,5.0,5.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,29159.0,4.0,-27703.0
2.0,1.0,95.0,1.0,9.0,4.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,69374.0,4.0,7349.0
2.0,1.0,95.0,1.0,9.0,4.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,69374.0,4.0,7349.0
5.0,1.0,3.0,1.0,9.0,6.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,194575.0,5.0,116479.0
2.0,1.0,5.0,1.0,9.0,2.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,-10524.0,3.0,-62292.0
2.0,1.0,5.0,1.0,12.0,3.0,4.0,0.0,1.0,1.0,1.0,,1.0,3.0,1.0,188950.0,5.0,111575.0
4.0,1.0,3.0,1.0,9.0,4.0,3.0,0.0,1.0,1.0,2.0,,1.0,3.0,1.0,219352.0,5.0,138074.0
5.0,1.0,5.0,1.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,54162.0,4.0,-5909.0
3.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,51783.0,4.0,-7983.0
3.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,51783.0,4.0,-7983.0
3.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,51783.0,4.0,-7983.0
2.0,1.0,5.0,1.0,9.0,7.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,4113.0,3.0,-49534.0
2.0,1.0,5.0,1.0,9.0,7.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,4113.0,3.0,-49534.0
5.0,1.0,5.0,1.0,9.0,7.0,3.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,-83028.0,2.0,-125488.0
3.0,1.0,5.0,1.0,2.0,5.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,73189.0,4.0,10675.0
3.0,1.0,5.0,1.0,2.0,5.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,73189.0,4.0,10675.0
2.0,1.0,3.0,1.0,9.0,3.0,3.0,0.0,1.0,2.0,0.0,,1.0,1.0,1.0,109280.0,5.0,42133.0
3.0,1.0,5.0,1.0,9.0,8.0,3.0,0.0,1.0,2.0,1.0,,1.0,2.0,0.0,8089.0,3.0,-46069.0
3.0,1.0,5.0,1.0,9.0,8.0,3.0,0.0,1.0,2.0,1.0,,1.0,2.0,0.0,8089.0,3.0,-46069.0
4.0,1.0,5.0,1.0,9.0,7.0,3.0,0.0,1.0,2.0,1.0,,0.0,0.0,0.0,40479.0,4.0,-17836.0
4.0,1.0,5.0,1.0,12.0,5.0,4.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,75186.0,4.0,12416.0
2.0,1.0,5.0,1.0,9.0,5.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,75186.0,4.0,12416.0
1.0,1.0,6.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,26919.0,4.0,-29656.0
1.0,1.0,6.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,26919.0,4.0,-29656.0
3.0,1.0,3.0,1.0,9.0,7.0,3.0,0.0,2.0,0.0,2.0,,0.0,0.0,1.0,-12586.0,3.0,-64089.0
2.0,1.0,5.0,1.0,9.0,3.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,84658.0,4.0,122025.0
2.0,1.0,95.0,1.0,7.0,4.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,82181.0,4.0,120070.0
5.0,1.0,5.0,1.0,9.0,7.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,220291.0,5.0,229103.0
5.0,1.0,5.0,1.0,9.0,7.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,220291.0,5.0,229103.0
6.0,1.0,5.0,1.0,6.0,8.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,-181369.0,1.0,-87995.0
1.0,1.0,5.0,1.0,8.0,8.0,3.0,0.0,1.0,1.0,2.0,,2.0,0.0,0.0,-181369.0,1.0,-87995.0
1.0,1.0,5.0,1.0,6.0,3.0,2.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,-95156.0,1.0,-19932.0
